model	sent	tags	prediction_label	mean	final																						
0	4 11 Share Tweet Poulettemagique is our LomoHome of the Day	['O', 'O', 'O', 'O', 'I-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD']	1	0.8029184463	4 11 Share Tweet Poulettemagique is our LomoHome of the Day																						
0	Additionally a great penalty fee you are able to face additional taxes by pulling out retirement funds early	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999393123	Additionally a great penalty fee you are able to face additional taxes by pulling out retirement funds early																						
0	After the release of all quarterly 13F filings we compile our hedge fund list and sentiment data for thousands of stocks and Precision Castparts Corp including	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999379705	After the release of all quarterly 13F filings we compile our hedge fund list and sentiment data for thousands of stocks and Precision Castparts Corp including																						
0	Also frequent introduction of products and difficulty in integration of acquired companies may weigh on Infineons nearterm results	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999382017	Also frequent introduction of products and difficulty in integration of acquired companies may weigh on Infineons nearterm results																						
0	And the ever powerful Lucky Santangelo has to deal with them all while Maxher teenage daughter is becoming The It girl in Europes modeling world	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'O', 'O', 'O', 'I-MOD']	1	0.8411745055	And the ever powerful Lucky Santangelo has to deal with them all while Maxher teenage daughter is becoming The It girl in Europes modeling world																						
0	Andrew Toweymajored in biological systems engineering	['O', 'I-TRG', 'O', 'O', 'O', 'O']	0	0.7480373842	Andrew Toweymajored in biological systems engineering																						
0	As I mentioned in my earlier post Arrow can tend to get too broody and mopeyespecially all of the second half of last season when Oliver Queen the Green Arrow of the comics debated replacingRs al Ghul	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O']	1	0.9985281861	As I mentioned in my earlier post Arrow can tend to get too broody and mopeyespecially all of the second half of last season when Oliver Queen the Green Arrow of the comics debated replacingRs al Ghul																						
0	Barima Yeboah Kordie the Aduanahene of Dormaa Traditional Area called for good relationship between the church state and traditional rulers to ensure the socioeconomic development of the nation	['B-TRG', 'I-TRG', 'I-TRG', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.999274421	Barima Yeboah Kordie the Aduanahene of Dormaa Traditional Area called for good relationship between the church state and traditional rulers to ensure the socioeconomic development of the nation																						
0	Be the Betty of the brunch table with this simple matchthat boosts of golden hues and supreme style victory	['O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9996502434	Be the *Betty* of /the brunch table/ with this simple matchthat boosts of golden hues and supreme style victory																						
0	Beginning Wednesday 923 at Albertsons score CW Premium Frozen Vegetables for as low as FREE after coupon	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999383629	Beginning Wednesday 923 at Albertsons score CW Premium Frozen Vegetables for as low as FREE after coupon																						
0	Behold the Lambo of God	['O', 'O', 'B-SRC', 'O', 'O']	0	0.8131442118	Behold the Lambo of God																						
0	Bishop Emeritus Colm OReilly has been named the Tesco Longford	['O', 'O', 'B-TRG', 'I-TRG', 'O', 'O', 'O', 'O', 'O', 'I-SRC']	0	0.8045763822	Bishop Emeritus Colm OReilly has been named the Tesco Longford																						
0	But of course he is the Beethoven of private pathologists seeing the clues and making the connections that ordinary salaried policeemployed medical examiners miss	['O', 'O', 'O', 'B-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9997494681	But of course |he| is the *Beethoven* of /private pathologists/ seeing the clues and making the connections that ordinary salaried policeemployed medical examiners miss																						
0	But that is providing little comfort for investors watching earnings forecasts downgraded for 201516	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	0.9999389329	But that is providing little comfort for investors watching earnings forecasts downgraded for 201516																						
0	Castro calls Maradona the Che of sports and the retired football star boasts a tattoo of Guevara on his right arm which he got when he came to Cuba for a drug rehab program in 2004	['O', 'O', 'B-TRG', 'O', 'B-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	0.9996741367	Castro calls |Maradona| the *Che* of /sports/ and the retired football star boasts a tattoo of Guevara on his right arm which he got when he came to Cuba for a drug rehab program in 2004																						
